2024-03-27 15:01:26,780 INFO    Thread-341 (_run_job):6540 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-27 15:01:26,781 INFO    Thread-341 (_run_job):6540 [wandb_setup.py:_flush():76] Configure stats pid to 6540
2024-03-27 15:01:26,781 INFO    Thread-341 (_run_job):6540 [wandb_setup.py:_flush():76] Loading settings from C:\Users\madsl\.config\wandb\settings
2024-03-27 15:01:26,781 INFO    Thread-341 (_run_job):6540 [wandb_setup.py:_flush():76] Loading settings from C:\Users\madsl\Dropbox\AAU\EIT 8. sem\Deep Learning\miniproject\825_Deep_learning_miniproject\wandb\settings
2024-03-27 15:01:26,781 INFO    Thread-341 (_run_job):6540 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'root_dir': 'C:\\Users\\madsl\\Dropbox\\AAU\\EIT 8. sem\\Deep Learning\\miniproject\\825_Deep_learning_miniproject', 'entity': '825-miniproject-DL', 'project': '825-miniproject-DL', 'run_id': '9bcn16ve', 'sweep_param_path': 'C:\\Users\\madsl\\Dropbox\\AAU\\EIT 8. sem\\Deep Learning\\miniproject\\825_Deep_learning_miniproject\\wandb\\sweep-cbihxlf8\\config-9bcn16ve.yaml', 'sweep_id': 'cbihxlf8'}
2024-03-27 15:01:26,786 INFO    Thread-341 (_run_job):6540 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-27 15:01:26,786 INFO    Thread-341 (_run_job):6540 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Neural_network.py', 'program_abspath': 'C:\\Users\\madsl\\Dropbox\\AAU\\EIT 8. sem\\Deep Learning\\miniproject\\825_Deep_learning_miniproject\\Neural_network.py', 'program': 'C:\\Users\\madsl\\Dropbox\\AAU\\EIT 8. sem\\Deep Learning\\miniproject\\825_Deep_learning_miniproject\\Neural_network.py'}
2024-03-27 15:01:26,786 INFO    Thread-341 (_run_job):6540 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\madsl\Dropbox\AAU\EIT 8. sem\Deep Learning\miniproject\825_Deep_learning_miniproject\wandb\run-20240327_150126-9bcn16ve\logs\debug.log
2024-03-27 15:01:26,786 INFO    Thread-341 (_run_job):6540 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\madsl\Dropbox\AAU\EIT 8. sem\Deep Learning\miniproject\825_Deep_learning_miniproject\wandb\run-20240327_150126-9bcn16ve\logs\debug-internal.log
2024-03-27 15:01:26,786 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():566] calling init triggers
2024-03-27 15:01:26,786 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():573] wandb.init called with sweep_config: {'batch_size': 64, 'dropout_p': 0.2, 'epochs': 20, 'hidden_layers': 4, 'learning_rate': 0.003875, 'optimizer': 'adam'}
config: {}
2024-03-27 15:01:26,786 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():616] starting backend
2024-03-27 15:01:26,786 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():620] setting up manager
2024-03-27 15:01:26,794 INFO    Thread-341 (_run_job):6540 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-03-27 15:01:26,794 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():628] backend started and connected
2024-03-27 15:01:26,809 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_config_callback():1343] config_cb None None {'batch_size': 64, 'dropout_p': 0.2, 'epochs': 20, 'hidden_layers': 4, 'learning_rate': 0.003875, 'optimizer': 'adam'}
2024-03-27 15:01:26,810 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():720] updated telemetry
2024-03-27 15:01:26,859 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-27 15:01:27,533 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_on_init():2262] communicating current version
2024-03-27 15:01:27,993 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-27 15:01:27,993 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():804] starting run threads in backend
2024-03-27 15:01:28,348 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_console_start():2241] atexit reg
2024-03-27 15:01:28,348 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-27 15:01:28,348 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-27 15:01:28,348 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-27 15:01:28,349 INFO    Thread-341 (_run_job):6540 [wandb_init.py:init():847] run started, returning control to user process
2024-03-27 15:01:42,020 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_finish():1970] finishing run 825-miniproject-DL/825-miniproject-DL/9bcn16ve
2024-03-27 15:01:42,020 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-03-27 15:01:42,020 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_restore():2193] restore
2024-03-27 15:01:42,021 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_restore():2199] restore done
2024-03-27 15:01:46,564 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_footer_history_summary_info():3851] rendering history
2024-03-27 15:01:46,565 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_footer_history_summary_info():3883] rendering summary
2024-03-27 15:01:46,569 INFO    Thread-341 (_run_job):6540 [wandb_run.py:_footer_sync_info():3810] logging synced files
